reference_id,intended_claim,doi,url,crossref_status,crossref_source,verified_title,verified_authors,verified_year,verified_journal,doi_landing_status,doi_landing_url,claim_evidence_level,claim_evidence_url,claim_evidence_locator,verbatim_supporting_excerpt,claim_keyword_hits,semantic_scope_note,semantic_review_status,audit_status
R23,A low-cost flight-controller IMU was compared with commercial sensors for human-motion measurement.,10.3390/s23042342,https://doi.org/10.3390/s23042342,PASS,archived previously verified Crossref metadata,Flight Controller as a Low-Cost IMU Sensor for Human Motion Measurement,"Iluk, Artur",2023,Sensors,403,https://www.mdpi.com/1424-8220/23/4/2342,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9966737/fullTextXML,"PMC9966737, section: Abstract","Human motion analysis requires information about the position and orientation of different parts of the human body over time. Widely used are optical methods such as the VICON system and sets of wired and wireless IMU sensors to estimate absolute orientation angles of extremities (Xsens). Both methods require expensive measurement devices and have disadvantages such as the limited rate of position and angle acquisition. In the paper, the adaptation of the drone flight controller was proposed as a low-cost and relatively high-performance device for the human body pose estimation and acceleration measurements. The test setup with the use of flight controllers was described and the efficiency of the flight controller sensor was compared with commercial sensors. The practical usability of sensors in human motion measurement was presented. The issues related to the dynamic response of IMU-bas",compared|commercial sensors,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R24,"Wearable IMU reporting is heterogeneous in devices, placement, and outcomes.",10.3390/s22051791,https://doi.org/10.3390/s22051791,PASS,archived previously verified Crossref metadata,Recent State of Wearable IMU Sensors Use in People Living with Spasticity: A Systematic Review,"Weizman, Yehuda; Tirosh, Oren; Fuss, Franz Konstantin; Tan, Adin Ming; Rutz, Erich",2022,Sensors,403,https://www.mdpi.com/1424-8220/22/5/1791,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8914967/fullTextXML,"PMC8914967, section: Abstract","Spasticity is a disabling characteristic of neurological disorders, described by a velocity-dependent increase in muscle tone during passive stretch. During the last few years, many studies have been carried out to assess spasticity using wearable IMU (inertial measurements unit) sensors. This review aims to provide an updated framework of the current research on IMUs wearable sensors in people living with spasticity in recent studies published between 2017 and 2021. A total of 322 articles were screened, then finally 10 articles were selected. Results show the lack of homogenization of study procedures and missing apparatus information in some studies. Still, most studies performed adequately on measures of reporting and found that IMUs wearable data was successful in their respective purposes and goals. As IMUs estimate translational and rotational body motions, we believe there is a s",IMU|review,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R25,"Recent work directly compares inside-out tracking across Meta Quest 3, Pico 4 Pro, and other standalone HMDs.",10.1145/3641825.3689518,https://doi.org/10.1145/3641825.3689518,PASS,archived previously verified Crossref metadata,"Comparing Tracking Accuracy in Standalone MR-HMDs: Apple Vision Pro, Hololens 2, Meta Quest 3, and Pico 4 Pro","Cheng, Long; Schreiner, Michael; Kunz, Andreas",2024,30th ACM Symposium on Virtual Reality Software and Technology,403,https://dl.acm.org/doi/10.1145/3641825.3689518,Semantic Scholar abstract fallback,https://www.semanticscholar.org/paper/c00feb9f64c7545751ec0f42cb88e2a003c283e0,Semantic Scholar abstract; publisher full text is closed,"Modern Mixed Reality Head-Mounted Displays (MR-HMDs) can track user movements across large spaces without external markers. This study evaluates the tracking accuracy and the loop closure capabilities of four commercially available MR-HMDs across four distinct scenarios. We found consistent tracking performance in well-lit and expansive environments for all devices. Tracking accuracy remained stable even in outdoor nighttime conditions. Furthermore, most HMDs demonstrated effective error correction during loop closure, with errors in non-loop scenarios consistently exceeding those in loop scenarios.",tracking accuracy,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R26,"Wearable-HAR acquisition is affected by sensor alignment, data loss, and noise.",10.3390/s17061287,https://doi.org/10.3390/s17061287,PASS,archived previously verified Crossref metadata,Wearable Sensor Data Classification for Human Activity Recognition Based on an Iterative Learning Framework,"Davila, Juan; Cretu, Ana-Maria; Zaremba, Marek",2017,Sensors,403,https://www.mdpi.com/1424-8220/17/6/1287,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5492798/fullTextXML,"PMC5492798, section: 1. Introduction","Wearable sensor technologies are gaining interest in different research communities due to the use of significantly miniaturized electronic components, with low power consumption, which makes them ideal for applications in human activity recognition for both indoor and outdoor environments [ 1 ]. These applications allow users to achieve a natural execution of any physical activity, while providing good results in multiple practical applications, such as health rehabilitation, respiratory and muscular activity assessment, sports and safety applications [ 2 ]. However, in practical situations, the collected data are affected by several factors related to sensor data alignment, data losses, and noise among other experimental constrains, deteriorating data quality and model accuracy [ 3 ]. Also, the non-ergodicity of the acquisition process, especially when processing signals from accelerat",alignment|data losses,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R27,Optical motion capture can serve as a reference for validating IMU-derived angles.,10.3390/s19030596,https://doi.org/10.3390/s19030596,PASS,archived previously verified Crossref metadata,Validation of Thigh Angle Estimation Using Inertial Measurement Unit Data against Optical Motion Capture Systems,"Abhayasinghe, Nimsiri; Murray, Iain; Sharif Bidabadi, Shiva",2019,Sensors,403,https://www.mdpi.com/1424-8220/19/3/596,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6387008/fullTextXML,"PMC6387008, section: 2. Materials and Methods","The synchronization of the movement of the two thighs was also measured and depicted in Figure 3 . It can be seen that the toe-off of one leg is closely synchronized to the initial contact of the other leg. These observations indicate that proper estimation of the thigh angle of one leg is sufficient to identify key points of the stride cycle of both legs of subjects without gait impairment. However, these observations were made with the Vicon optical motion capture system and it is necessary to compare the thigh angle computed with GIOF for the purpose of validation.",optical motion capture|validation,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R28,Drift and displacement estimation are central limitations in single-IMU motion analysis.,10.3390/s22030956,https://doi.org/10.3390/s22030956,PASS,archived previously verified Crossref metadata,Drift-Free 3D Orientation and Displacement Estimation for Quasi-Cyclical Movements Using One Inertial Measurement Unit: Application to Running,"Zandbergen, Marit A.; Reenalda, Jasper; van Middelaar, Robbert P.; Ferla, Romano I.; Buurke, Jaap H.; Veltink, Peter H.",2022,Sensors,403,https://www.mdpi.com/1424-8220/22/3/956,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8838725/fullTextXML,"PMC8838725, section: Abstract","A Drift-Free 3D Orientation and Displacement estimation method (DFOD) based on a single inertial measurement unit (IMU) is proposed and validated. Typically, body segment orientation and displacement methods rely on a constant- or zero-velocity point to correct for drift. Therefore, they are not easily applicable to more proximal segments than the foot. DFOD uses an alternative single sensor drift reduction strategy based on the quasi-cyclical nature of many human movements. DFOD assumes that the quasi-cyclical movement occurs in a quasi-2D plane and with an approximately constant cycle average velocity. DFOD is independent of a constant- or zero-velocity point, a biomechanical model, Kalman filtering or a magnetometer. DFOD reduces orientation drift by assuming a cyclical movement, and by defining a functional coordinate system with two functional axes. These axes are based on the mean ",drift|displacement,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R29,Optical motion-capture systems have their own measurable positioning performance.,10.3390/s17071591,https://doi.org/10.3390/s17071591,PASS,archived previously verified Crossref metadata,A Study of Vicon System Positioning Performance,"Merriaux, Pierre; Dupuis, Yohan; Boutteau, Rémi; Vasseur, Pascal; Savatier, Xavier",2017,Sensors,403,https://www.mdpi.com/1424-8220/17/7/1591,Europe PMC full text,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5551098/fullTextXML,"PMC5551098, section: Abstract","Motion capture setups are used in numerous fields. Studies based on motion capture data can be found in biomechanical, sport or animal science. Clinical science studies include gait analysis as well as balance, posture and motor control. Robotic applications encompass object tracking. Today’s life applications includes entertainment or augmented reality. Still, few studies investigate the positioning performance of motion capture setups. In this paper, we study the positioning performance of one player in the optoelectronic motion capture based on markers: Vicon system. Our protocol includes evaluations of static and dynamic performances. Mean error as well as positioning variabilities are studied with calibrated ground truth setups that are not based on other motion capture modalities. We introduce a new setup that enables directly estimating the absolute positioning accuracy for dynami",Vicon|positioning,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R30,WebXR exposes viewer and space poses through browser-managed XRFrame methods.,,https://www.w3.org/TR/webxr/,NOT_APPLICABLE,standards/developer documentation,W3C WebXR Device API,,,,200,https://www.w3.org/TR/webxr/,authoritative web specification/documentation,https://www.w3.org/TR/webxr/,"web page, selected official definition paragraphs","The getPose( space , baseSpace ) method provides the pose of space relative to baseSpace as an XRPose , at the time represented by the XRFrame .",pose|XRFrame,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,AUTOMATED_RECORD_COMPLETE
R31,The browser Device Motion API defines acceleration and rotation-rate event fields and an explicit permission procedure.,,https://www.w3.org/TR/orientation-event/,NOT_APPLICABLE,standards/developer documentation,W3C Device Orientation and Motion,,,,200,https://www.w3.org/TR/orientation-event/,authoritative web specification/documentation,https://www.w3.org/TR/orientation-event/,"web page, selected official definition paragraphs","In light of that, implementations may consider visual indicators to signify the use of sensors by the web page. Additionally, this specification requires users to give express permission for the user agent to provide device motion and/or orientation data via the requestPermission() API calls. The acceleration attribute must return the value it was initialized to. When the object is created, this attribute must be initialized to null. It represents the device’s linear acceleration . The rotationRate attribute must return the value it was initialized to. When the object is created, this attribute must be initialized to null. It represents the device’s rotation rate .",permission|acceleration|rotation rate,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,AUTOMATED_RECORD_COMPLETE
R32,The Android sensor framework distinguishes hardware-based and software-based sensors.,,https://developer.android.com/develop/sensors-and-location/sensors/sensors_overview,NOT_APPLICABLE,standards/developer documentation,Android Sensors Overview,,,,200,https://developer.android.com/develop/sensors-and-location/sensors/sensors_overview,authoritative web specification/documentation,https://developer.android.com/develop/sensors-and-location/sensors/sensors_overview,"web page, first matching sentence",Some of these sensors are hardware-based and some are software-based.,hardware-based|software-based,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,AUTOMATED_RECORD_COMPLETE
R33,ADB is a command-line tool for communicating with an Android device.,,https://developer.android.com/tools/adb,NOT_APPLICABLE,standards/developer documentation,Android Debug Bridge,,,,ERROR:URLError,https://developer.android.com/tools/adb,authoritative web specification/documentation,https://developer.android.com/tools/adb,,,,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,MANUAL_RECORD_CHECK
R34,OpenXR locates a space pose at a specified historical or predicted time.,,https://registry.khronos.org/OpenXR/specs/1.1/html/xrspec.html,NOT_APPLICABLE,standards/developer documentation,Khronos OpenXR Specification,,,,200,https://registry.khronos.org/OpenXR/specs/1.1/html/xrspec.html,authoritative web specification/documentation,https://registry.khronos.org/OpenXR/specs/1.1/html/xrspec.html,"web page, first matching sentence",Locating Spaces Applications use the xrLocateSpace function to find the pose of an XrSpace ’s origin within a base XrSpace at a given historical or predicted time.,predicted|pose,Excerpt located by keywords; author must confirm that the cited passage supports the final manuscript wording.,PENDING_AUTHOR_REVIEW,AUTOMATED_RECORD_COMPLETE
